Province/State,Country/Region,Date,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,1/22/20,0,0,0
Australian Capital Territory,Australia,1/23/20,0,0,0
Australian Capital Territory,Australia,1/24/20,0,0,0
Australian Capital Territory,Australia,1/25/20,0,0,0
Australian Capital Territory,Australia,1/26/20,0,0,0
Australian Capital Territory,Australia,1/27/20,0,0,0
Australian Capital Territory,Australia,1/28/20,0,0,0
Australian Capital Territory,Australia,1/29/20,0,0,0
Australian Capital Territory,Australia,1/30/20,0,0,0
Australian Capital Territory,Australia,1/31/20,0,0,0
Australian Capital Territory,Australia,2/1/20,0,0,0
Australian Capital Territory,Australia,2/2/20,0,0,0
Australian Capital Territory,Australia,2/3/20,0,0,0
Australian Capital Territory,Australia,2/4/20,0,0,0
Australian Capital Territory,Australia,2/5/20,0,0,0
Australian Capital Territory,Australia,2/6/20,0,0,0
Australian Capital Territory,Australia,2/7/20,0,0,0
Australian Capital Territory,Australia,2/8/20,0,0,0
Australian Capital Territory,Australia,2/9/20,0,0,0
Australian Capital Territory,Australia,2/10/20,0,0,0
Australian Capital Territory,Australia,2/11/20,0,0,0
Australian Capital Territory,Australia,2/12/20,0,0,0
Australian Capital Territory,Australia,2/13/20,0,0,0
Australian Capital Territory,Australia,2/14/20,0,0,0
Australian Capital Territory,Australia,2/15/20,0,0,0
Australian Capital Territory,Australia,2/16/20,0,0,0
Australian Capital Territory,Australia,2/17/20,0,0,0
Australian Capital Territory,Australia,2/18/20,0,0,0
Australian Capital Territory,Australia,2/19/20,0,0,0
Australian Capital Territory,Australia,2/20/20,0,0,0
Australian Capital Territory,Australia,2/21/20,0,0,0
Australian Capital Territory,Australia,2/22/20,0,0,0
Australian Capital Territory,Australia,2/23/20,0,0,0
Australian Capital Territory,Australia,2/24/20,0,0,0
Australian Capital Territory,Australia,2/25/20,0,0,0
Australian Capital Territory,Australia,2/26/20,0,0,0
Australian Capital Territory,Australia,2/27/20,0,0,0
Australian Capital Territory,Australia,2/28/20,0,0,0
Australian Capital Territory,Australia,2/29/20,0,0,0
Australian Capital Territory,Australia,3/1/20,0,0,0
Australian Capital Territory,Australia,3/2/20,0,0,0
Australian Capital Territory,Australia,3/3/20,0,0,0
Australian Capital Territory,Australia,3/4/20,0,0,0
Australian Capital Territory,Australia,3/5/20,0,0,0
Australian Capital Territory,Australia,3/6/20,0,0,0
Australian Capital Territory,Australia,3/7/20,0,0,0
Australian Capital Territory,Australia,3/8/20,0,0,0
Australian Capital Territory,Australia,3/9/20,0,0,0
Australian Capital Territory,Australia,3/10/20,0,0,0
Australian Capital Territory,Australia,3/11/20,0,0,0
Australian Capital Territory,Australia,3/12/20,0,0,0
Australian Capital Territory,Australia,3/13/20,1,0,0
Australian Capital Territory,Australia,3/14/20,1,0,0
Australian Capital Territory,Australia,3/15/20,1,0,0
Australian Capital Territory,Australia,3/16/20,2,0,0
Australian Capital Territory,Australia,3/17/20,2,0,0
Australian Capital Territory,Australia,3/18/20,3,0,0
Australian Capital Territory,Australia,3/19/20,4,0,0
Australian Capital Territory,Australia,3/20/20,6,0,0
Australian Capital Territory,Australia,3/21/20,9,0,0
Australian Capital Territory,Australia,3/22/20,19,0,0
Australian Capital Territory,Australia,3/23/20,32,0,0
Australian Capital Territory,Australia,3/24/20,39,0,0
Australian Capital Territory,Australia,3/25/20,39,0,0
Australian Capital Territory,Australia,3/26/20,53,0,1
Australian Capital Territory,Australia,3/27/20,62,0,1
Australian Capital Territory,Australia,3/28/20,71,0,2
Australian Capital Territory,Australia,3/29/20,77,0,2
Australian Capital Territory,Australia,3/30/20,78,1,2
Australian Capital Territory,Australia,3/31/20,80,1,3
Australian Capital Territory,Australia,4/1/20,84,1,8
Australian Capital Territory,Australia,4/2/20,87,1,11
Australian Capital Territory,Australia,4/3/20,91,1,18
Australian Capital Territory,Australia,4/4/20,93,2,18
Australian Capital Territory,Australia,4/5/20,96,2,28
Australian Capital Territory,Australia,4/6/20,96,2,40
Australian Capital Territory,Australia,4/7/20,96,2,40
Australian Capital Territory,Australia,4/8/20,99,2,40
Australian Capital Territory,Australia,4/9/20,100,2,47
Australian Capital Territory,Australia,4/10/20,103,2,59
Australian Capital Territory,Australia,4/11/20,103,2,59
Australian Capital Territory,Australia,4/12/20,103,2,59
Australian Capital Territory,Australia,4/13/20,102,2,59
Australian Capital Territory,Australia,4/14/20,103,2,72
Australian Capital Territory,Australia,4/15/20,103,3,72
Australian Capital Territory,Australia,4/16/20,103,3,82
Australian Capital Territory,Australia,4/17/20,103,3,81
Australian Capital Territory,Australia,4/18/20,103,3,88
Australian Capital Territory,Australia,4/19/20,103,3,88
Australian Capital Territory,Australia,4/20/20,104,3,91
Australian Capital Territory,Australia,4/21/20,104,3,92
Australian Capital Territory,Australia,4/22/20,104,3,93
Australian Capital Territory,Australia,4/23/20,104,3,93
Australian Capital Territory,Australia,4/24/20,105,3,97
Australian Capital Territory,Australia,4/25/20,106,3,98
Australian Capital Territory,Australia,4/26/20,106,3,99
Australian Capital Territory,Australia,4/27/20,106,3,100
Australian Capital Territory,Australia,4/28/20,106,3,101
Australian Capital Territory,Australia,4/29/20,106,3,101
Australian Capital Territory,Australia,4/30/20,106,3,103
Australian Capital Territory,Australia,5/1/20,106,3,103
Australian Capital Territory,Australia,5/2/20,106,3,103
Australian Capital Territory,Australia,5/3/20,106,3,103
Australian Capital Territory,Australia,5/4/20,107,3,103
Australian Capital Territory,Australia,5/5/20,107,3,103
Australian Capital Territory,Australia,5/6/20,107,3,103
Australian Capital Territory,Australia,5/7/20,107,3,103
Australian Capital Territory,Australia,5/8/20,107,3,103
Australian Capital Territory,Australia,5/9/20,107,3,104
Australian Capital Territory,Australia,5/10/20,107,3,104
Australian Capital Territory,Australia,5/11/20,107,3,104
Australian Capital Territory,Australia,5/12/20,107,3,104
Australian Capital Territory,Australia,5/13/20,107,3,104
Australian Capital Territory,Australia,5/14/20,107,3,104
Australian Capital Territory,Australia,5/15/20,107,3,104
Australian Capital Territory,Australia,5/16/20,107,3,104
Australian Capital Territory,Australia,5/17/20,107,3,104
Australian Capital Territory,Australia,5/18/20,107,3,104
Australian Capital Territory,Australia,5/19/20,107,3,104
Australian Capital Territory,Australia,5/20/20,107,3,104
Australian Capital Territory,Australia,5/21/20,107,3,104
Australian Capital Territory,Australia,5/22/20,107,3,104
Australian Capital Territory,Australia,5/23/20,107,3,104
Australian Capital Territory,Australia,5/24/20,107,3,104
Australian Capital Territory,Australia,5/25/20,107,3,104
Australian Capital Territory,Australia,5/26/20,107,3,104
Australian Capital Territory,Australia,5/27/20,107,3,104
Australian Capital Territory,Australia,5/28/20,107,3,104
Australian Capital Territory,Australia,5/29/20,107,3,104
Australian Capital Territory,Australia,5/30/20,107,3,104
Australian Capital Territory,Australia,5/31/20,107,3,104
Australian Capital Territory,Australia,6/1/20,107,3,104
Australian Capital Territory,Australia,6/2/20,107,3,104
Australian Capital Territory,Australia,6/3/20,107,3,104
Australian Capital Territory,Australia,6/4/20,107,3,104
Australian Capital Territory,Australia,6/5/20,107,3,104
Australian Capital Territory,Australia,6/6/20,108,3,104
Australian Capital Territory,Australia,6/7/20,108,3,104
Australian Capital Territory,Australia,6/8/20,108,3,104
Australian Capital Territory,Australia,6/9/20,108,3,104
Australian Capital Territory,Australia,6/10/20,108,3,104
Australian Capital Territory,Australia,6/11/20,108,3,104
Australian Capital Territory,Australia,6/12/20,108,3,104
Australian Capital Territory,Australia,6/13/20,108,3,104
Australian Capital Territory,Australia,6/14/20,108,3,104
Australian Capital Territory,Australia,6/15/20,108,3,104
Australian Capital Territory,Australia,6/16/20,108,3,105
Australian Capital Territory,Australia,6/17/20,108,3,105
Australian Capital Territory,Australia,6/18/20,108,3,105
Australian Capital Territory,Australia,6/19/20,108,3,105
Australian Capital Territory,Australia,6/20/20,108,3,105
Australian Capital Territory,Australia,6/21/20,108,3,105
Australian Capital Territory,Australia,6/22/20,108,3,105
Australian Capital Territory,Australia,6/23/20,108,3,105
Australian Capital Territory,Australia,6/24/20,108,3,105
Australian Capital Territory,Australia,6/25/20,108,3,105
Australian Capital Territory,Australia,6/26/20,108,3,105
Australian Capital Territory,Australia,6/27/20,108,3,105
Australian Capital Territory,Australia,6/28/20,108,3,105
Australian Capital Territory,Australia,6/29/20,108,3,105
Australian Capital Territory,Australia,6/30/20,108,3,105
New South Wales,Australia,1/22/20,0,0,0
New South Wales,Australia,1/23/20,0,0,0
New South Wales,Australia,1/24/20,0,0,0
New South Wales,Australia,1/25/20,0,0,0
New South Wales,Australia,1/26/20,3,0,0
New South Wales,Australia,1/27/20,4,0,0
New South Wales,Australia,1/28/20,4,0,0
New South Wales,Australia,1/29/20,4,0,0
New South Wales,Australia,1/30/20,4,0,2
New South Wales,Australia,1/31/20,4,0,2
New South Wales,Australia,2/1/20,4,0,2
New South Wales,Australia,2/2/20,4,0,2
New South Wales,Australia,2/3/20,4,0,2
New South Wales,Australia,2/4/20,4,0,2
New South Wales,Australia,2/5/20,4,0,2
New South Wales,Australia,2/6/20,4,0,2
New South Wales,Australia,2/7/20,4,0,2
New South Wales,Australia,2/8/20,4,0,2
New South Wales,Australia,2/9/20,4,0,2
New South Wales,Australia,2/10/20,4,0,2
New South Wales,Australia,2/11/20,4,0,2
New South Wales,Australia,2/12/20,4,0,2
New South Wales,Australia,2/13/20,4,0,4
New South Wales,Australia,2/14/20,4,0,4
New South Wales,Australia,2/15/20,4,0,4
New South Wales,Australia,2/16/20,4,0,4
New South Wales,Australia,2/17/20,4,0,4
New South Wales,Australia,2/18/20,4,0,4
New South Wales,Australia,2/19/20,4,0,4
New South Wales,Australia,2/20/20,4,0,4
New South Wales,Australia,2/21/20,4,0,4
New South Wales,Australia,2/22/20,4,0,4
New South Wales,Australia,2/23/20,4,0,4
New South Wales,Australia,2/24/20,4,0,4
New South Wales,Australia,2/25/20,4,0,4
New South Wales,Australia,2/26/20,4,0,4
New South Wales,Australia,2/27/20,4,0,4
New South Wales,Australia,2/28/20,4,0,4
New South Wales,Australia,2/29/20,4,0,4
New South Wales,Australia,3/1/20,6,0,4
New South Wales,Australia,3/2/20,6,0,4
New South Wales,Australia,3/3/20,13,0,4
New South Wales,Australia,3/4/20,22,1,4
New South Wales,Australia,3/5/20,22,1,4
New South Wales,Australia,3/6/20,26,1,4
New South Wales,Australia,3/7/20,28,1,4
New South Wales,Australia,3/8/20,38,2,4
New South Wales,Australia,3/9/20,48,2,4
New South Wales,Australia,3/10/20,55,2,4
New South Wales,Australia,3/11/20,65,2,4
New South Wales,Australia,3/12/20,65,2,4
New South Wales,Australia,3/13/20,92,2,4
New South Wales,Australia,3/14/20,112,2,4
New South Wales,Australia,3/15/20,134,2,4
New South Wales,Australia,3/16/20,171,2,4
New South Wales,Australia,3/17/20,210,4,4
New South Wales,Australia,3/18/20,267,5,4
New South Wales,Australia,3/19/20,307,5,4
New South Wales,Australia,3/20/20,353,6,4
New South Wales,Australia,3/21/20,436,6,4
New South Wales,Australia,3/22/20,669,6,4
New South Wales,Australia,3/23/20,669,6,4
New South Wales,Australia,3/24/20,818,7,4
New South Wales,Australia,3/25/20,1029,7,4
New South Wales,Australia,3/26/20,1219,7,4
New South Wales,Australia,3/27/20,1405,7,4
New South Wales,Australia,3/28/20,1617,8,4
New South Wales,Australia,3/29/20,1791,8,4
New South Wales,Australia,3/30/20,2032,8,4
New South Wales,Australia,3/31/20,2032,8,4
New South Wales,Australia,4/1/20,2182,9,4
New South Wales,Australia,4/2/20,2298,10,4
New South Wales,Australia,4/3/20,2389,12,4
New South Wales,Australia,4/4/20,2493,12,4
New South Wales,Australia,4/5/20,2580,16,4
New South Wales,Australia,4/6/20,2637,18,4
New South Wales,Australia,4/7/20,2686,21,4
New South Wales,Australia,4/8/20,2734,21,4
New South Wales,Australia,4/9/20,2773,21,4
New South Wales,Australia,4/10/20,2822,22,4
New South Wales,Australia,4/11/20,2857,23,4
New South Wales,Australia,4/12/20,2857,24,4
New South Wales,Australia,4/13/20,2863,25,4
New South Wales,Australia,4/14/20,2870,25,4
New South Wales,Australia,4/15/20,2886,25,4
New South Wales,Australia,4/16/20,2897,25,4
New South Wales,Australia,4/17/20,2926,26,1379
New South Wales,Australia,4/18/20,2936,26,1379
New South Wales,Australia,4/19/20,2957,26,1379
New South Wales,Australia,4/20/20,2963,26,1379
New South Wales,Australia,4/21/20,2969,26,1755
New South Wales,Australia,4/22/20,2971,26,1926
New South Wales,Australia,4/23/20,2976,31,2006
New South Wales,Australia,4/24/20,2982,33,2056
New South Wales,Australia,4/25/20,2994,33,2193
New South Wales,Australia,4/26/20,3002,34,2208
New South Wales,Australia,4/27/20,3004,34,2227
New South Wales,Australia,4/28/20,3016,39,2266
New South Wales,Australia,4/29/20,3016,40,2284
New South Wales,Australia,4/30/20,3025,41,2293
New South Wales,Australia,5/1/20,3030,41,2293
New South Wales,Australia,5/2/20,3035,42,2306
New South Wales,Australia,5/3/20,3033,42,2328
New South Wales,Australia,5/4/20,3035,43,2349
New South Wales,Australia,5/5/20,3042,44,2418
New South Wales,Australia,5/6/20,3044,44,2463
New South Wales,Australia,5/7/20,3047,44,2486
New South Wales,Australia,5/8/20,3051,44,2504
New South Wales,Australia,5/9/20,3053,44,2504
New South Wales,Australia,5/10/20,3053,44,2517
New South Wales,Australia,5/11/20,3053,44,2543
New South Wales,Australia,5/12/20,3059,45,2571
New South Wales,Australia,5/13/20,3063,45,2595
New South Wales,Australia,5/14/20,3071,45,2605
New South Wales,Australia,5/15/20,3074,45,2611
New South Wales,Australia,5/16/20,3075,45,2611
New South Wales,Australia,5/17/20,3076,46,2612
New South Wales,Australia,5/18/20,3078,46,2614
New South Wales,Australia,5/19/20,3081,47,2631
New South Wales,Australia,5/20/20,3082,47,2648
New South Wales,Australia,5/21/20,3084,48,2648
New South Wales,Australia,5/22/20,3086,48,2653
New South Wales,Australia,5/23/20,3087,48,2653
New South Wales,Australia,5/24/20,3090,48,2656
New South Wales,Australia,5/25/20,3092,48,2661
New South Wales,Australia,5/26/20,3089,48,2663
New South Wales,Australia,5/27/20,3090,48,2670
New South Wales,Australia,5/28/20,3092,48,2666
New South Wales,Australia,5/29/20,3092,48,2683
New South Wales,Australia,5/30/20,3095,48,2685
New South Wales,Australia,5/31/20,3098,48,2685
New South Wales,Australia,6/1/20,3104,48,2687
New South Wales,Australia,6/2/20,3104,48,2691
New South Wales,Australia,6/3/20,3106,48,2700
New South Wales,Australia,6/4/20,3110,48,2714
New South Wales,Australia,6/5/20,3110,48,2719
New South Wales,Australia,6/6/20,3109,48,2723
New South Wales,Australia,6/7/20,3112,48,2724
New South Wales,Australia,6/8/20,3114,48,2729
New South Wales,Australia,6/9/20,3117,48,2735
New South Wales,Australia,6/10/20,3117,48,2738
New South Wales,Australia,6/11/20,3115,48,2743
New South Wales,Australia,6/12/20,3119,48,2763
New South Wales,Australia,6/13/20,3128,48,2766
New South Wales,Australia,6/14/20,3131,48,2766
New South Wales,Australia,6/15/20,3134,48,2768
New South Wales,Australia,6/16/20,3135,48,2770
New South Wales,Australia,6/17/20,3137,48,2770
New South Wales,Australia,6/18/20,3143,48,2770
New South Wales,Australia,6/19/20,3144,48,2771
New South Wales,Australia,6/20/20,3149,48,2771
New South Wales,Australia,6/21/20,3151,48,2771
New South Wales,Australia,6/22/20,3150,48,2771
New South Wales,Australia,6/23/20,3159,48,2771
New South Wales,Australia,6/24/20,3162,49,2776
New South Wales,Australia,6/25/20,3168,49,2782
New South Wales,Australia,6/26/20,3174,49,2784
New South Wales,Australia,6/27/20,3177,49,2784
New South Wales,Australia,6/28/20,3184,49,2784
New South Wales,Australia,6/29/20,3189,49,2784
New South Wales,Australia,6/30/20,3203,49,2787
Northern Territory,Australia,1/22/20,0,0,0
Northern Territory,Australia,1/23/20,0,0,0
Northern Territory,Australia,1/24/20,0,0,0
Northern Territory,Australia,1/25/20,0,0,0
Northern Territory,Australia,1/26/20,0,0,0
Northern Territory,Australia,1/27/20,0,0,0
Northern Territory,Australia,1/28/20,0,0,0
Northern Territory,Australia,1/29/20,0,0,0
Northern Territory,Australia,1/30/20,0,0,0
Northern Territory,Australia,1/31/20,0,0,0
Northern Territory,Australia,2/1/20,0,0,0
Northern Territory,Australia,2/2/20,0,0,0
Northern Territory,Australia,2/3/20,0,0,0
Northern Territory,Australia,2/4/20,0,0,0
Northern Territory,Australia,2/5/20,0,0,0
Northern Territory,Australia,2/6/20,0,0,0
Northern Territory,Australia,2/7/20,0,0,0
Northern Territory,Australia,2/8/20,0,0,0
Northern Territory,Australia,2/9/20,0,0,0
Northern Territory,Australia,2/10/20,0,0,0
Northern Territory,Australia,2/11/20,0,0,0
Northern Territory,Australia,2/12/20,0,0,0
Northern Territory,Australia,2/13/20,0,0,0
Northern Territory,Australia,2/14/20,0,0,0
Northern Territory,Australia,2/15/20,0,0,0
Northern Territory,Australia,2/16/20,0,0,0
Northern Territory,Australia,2/17/20,0,0,0
Northern Territory,Australia,2/18/20,0,0,0
Northern Territory,Australia,2/19/20,0,0,0
Northern Territory,Australia,2/20/20,0,0,0
Northern Territory,Australia,2/21/20,0,0,0
Northern Territory,Australia,2/22/20,0,0,0
Northern Territory,Australia,2/23/20,0,0,0
Northern Territory,Australia,2/24/20,0,0,0
Northern Territory,Australia,2/25/20,0,0,0
Northern Territory,Australia,2/26/20,0,0,0
Northern Territory,Australia,2/27/20,0,0,0
Northern Territory,Australia,2/28/20,0,0,0
Northern Territory,Australia,2/29/20,0,0,0
Northern Territory,Australia,3/1/20,0,0,0
Northern Territory,Australia,3/2/20,0,0,0
Northern Territory,Australia,3/3/20,0,0,0
Northern Territory,Australia,3/4/20,1,0,0
Northern Territory,Australia,3/5/20,1,0,0
Northern Territory,Australia,3/6/20,0,0,0
Northern Territory,Australia,3/7/20,0,0,0
Northern Territory,Australia,3/8/20,0,0,0
Northern Territory,Australia,3/9/20,0,0,0
Northern Territory,Australia,3/10/20,1,0,0
Northern Territory,Australia,3/11/20,1,0,0
Northern Territory,Australia,3/12/20,1,0,0
Northern Territory,Australia,3/13/20,1,0,0
Northern Territory,Australia,3/14/20,1,0,0
Northern Territory,Australia,3/15/20,1,0,0
Northern Territory,Australia,3/16/20,1,0,0
Northern Territory,Australia,3/17/20,1,0,0
Northern Territory,Australia,3/18/20,1,0,0
Northern Territory,Australia,3/19/20,1,0,0
Northern Territory,Australia,3/20/20,3,0,0
Northern Territory,Australia,3/21/20,3,0,0
Northern Territory,Australia,3/22/20,5,0,0
Northern Territory,Australia,3/23/20,5,0,0
Northern Territory,Australia,3/24/20,6,0,0
Northern Territory,Australia,3/25/20,6,0,0
Northern Territory,Australia,3/26/20,12,0,0
Northern Territory,Australia,3/27/20,12,0,0
Northern Territory,Australia,3/28/20,15,0,0
Northern Territory,Australia,3/29/20,15,0,0
Northern Territory,Australia,3/30/20,15,0,0
Northern Territory,Australia,3/31/20,17,0,0
Northern Territory,Australia,4/1/20,19,0,0
Northern Territory,Australia,4/2/20,21,0,0
Northern Territory,Australia,4/3/20,22,0,0
Northern Territory,Australia,4/4/20,26,0,1
Northern Territory,Australia,4/5/20,27,0,1
Northern Territory,Australia,4/6/20,28,0,2
Northern Territory,Australia,4/7/20,28,0,2
Northern Territory,Australia,4/8/20,28,0,2
Northern Territory,Australia,4/9/20,28,0,2
Northern Territory,Australia,4/10/20,28,0,2
Northern Territory,Australia,4/11/20,28,0,2
Northern Territory,Australia,4/12/20,28,0,2
Northern Territory,Australia,4/13/20,28,0,2
Northern Territory,Australia,4/14/20,28,0,6
Northern Territory,Australia,4/15/20,28,0,6
Northern Territory,Australia,4/16/20,28,0,6
Northern Territory,Australia,4/17/20,28,0,9
Northern Territory,Australia,4/18/20,28,0,9
Northern Territory,Australia,4/19/20,28,0,9
Northern Territory,Australia,4/20/20,28,0,12
Northern Territory,Australia,4/21/20,28,0,15
Northern Territory,Australia,4/22/20,28,0,16
Northern Territory,Australia,4/23/20,28,0,16
Northern Territory,Australia,4/24/20,28,0,20
Northern Territory,Australia,4/25/20,28,0,23
Northern Territory,Australia,4/26/20,28,0,23
Northern Territory,Australia,4/27/20,28,0,23
Northern Territory,Australia,4/28/20,28,0,25
Northern Territory,Australia,4/29/20,28,0,25
Northern Territory,Australia,4/30/20,28,0,25
Northern Territory,Australia,5/1/20,27,0,24
Northern Territory,Australia,5/2/20,29,0,24
Northern Territory,Australia,5/3/20,29,0,24
Northern Territory,Australia,5/4/20,29,0,24
Northern Territory,Australia,5/5/20,29,0,26
Northern Territory,Australia,5/6/20,29,0,27
Northern Territory,Australia,5/7/20,29,0,27
Northern Territory,Australia,5/8/20,29,0,27
Northern Territory,Australia,5/9/20,29,0,27
Northern Territory,Australia,5/10/20,29,0,27
Northern Territory,Australia,5/11/20,29,0,27
Northern Territory,Australia,5/12/20,29,0,27
Northern Territory,Australia,5/13/20,29,0,27
Northern Territory,Australia,5/14/20,29,0,27
Northern Territory,Australia,5/15/20,29,0,27
Northern Territory,Australia,5/16/20,29,0,27
Northern Territory,Australia,5/17/20,29,0,27
Northern Territory,Australia,5/18/20,29,0,27
Northern Territory,Australia,5/19/20,29,0,27
Northern Territory,Australia,5/20/20,29,0,29
Northern Territory,Australia,5/21/20,29,0,29
Northern Territory,Australia,5/22/20,29,0,29
Northern Territory,Australia,5/23/20,29,0,29
Northern Territory,Australia,5/24/20,29,0,29
Northern Territory,Australia,5/25/20,29,0,29
Northern Territory,Australia,5/26/20,29,0,29
Northern Territory,Australia,5/27/20,29,0,29
Northern Territory,Australia,5/28/20,29,0,29
Northern Territory,Australia,5/29/20,29,0,29
Northern Territory,Australia,5/30/20,29,0,29
Northern Territory,Australia,5/31/20,29,0,29
Northern Territory,Australia,6/1/20,29,0,29
Northern Territory,Australia,6/2/20,29,0,29
Northern Territory,Australia,6/3/20,29,0,29
Northern Territory,Australia,6/4/20,29,0,29
Northern Territory,Australia,6/5/20,29,0,29
Northern Territory,Australia,6/6/20,29,0,29
Northern Territory,Australia,6/7/20,29,0,29
Northern Territory,Australia,6/8/20,29,0,29
Northern Territory,Australia,6/9/20,29,0,29
Northern Territory,Australia,6/10/20,29,0,29
Northern Territory,Australia,6/11/20,29,0,29
Northern Territory,Australia,6/12/20,29,0,29
Northern Territory,Australia,6/13/20,29,0,29
Northern Territory,Australia,6/14/20,29,0,29
Northern Territory,Australia,6/15/20,29,0,29
Northern Territory,Australia,6/16/20,29,0,29
Northern Territory,Australia,6/17/20,29,0,29
Northern Territory,Australia,6/18/20,29,0,29
Northern Territory,Australia,6/19/20,29,0,29
Northern Territory,Australia,6/20/20,29,0,29
Northern Territory,Australia,6/21/20,29,0,29
Northern Territory,Australia,6/22/20,29,0,29
Northern Territory,Australia,6/23/20,29,0,29
Northern Territory,Australia,6/24/20,29,0,29
Northern Territory,Australia,6/25/20,29,0,29
Northern Territory,Australia,6/26/20,29,0,29
Northern Territory,Australia,6/27/20,29,0,29
Northern Territory,Australia,6/28/20,29,0,29
Northern Territory,Australia,6/29/20,29,0,29
Northern Territory,Australia,6/30/20,29,0,29